Case	f0	q	M_tot	chi1	chi2	theta1	phi1	theta2	phi2	f_peak
85	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	2.6179938779914944	3.9269908169872414	307.7985974308164
86	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	2.6179938779914944	4.71238898038469	307.7985974308164
87	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	2.6179938779914944	5.497787143782138	307.7985974308164
88	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	2.6179938779914944	6.283185307179586	307.7985974308164
89	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	3.141592653589793	0.7853981633974483	305.58501852949234
90	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	3.141592653589793	1.5707963267948966	305.58501852949234
91	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	3.141592653589793	2.356194490192345	305.58501852949234
92	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	3.141592653589793	3.141592653589793	305.58501852949234
93	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	3.141592653589793	3.9269908169872414	305.58501852949234
94	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	3.141592653589793	4.71238898038469	305.58501852949234
95	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	3.141592653589793	5.497787143782138	305.58501852949234
96	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	3.141592653589793	6.283185307179586	305.58501852949234
97	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	0.5235987755982988	0.7853981633974483	334.19068469710004
98	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	0.5235987755982988	1.5707963267948966	334.19068469710004
99	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	0.5235987755982988	2.356194490192345	334.19068469710004
100	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	0.5235987755982988	3.141592653589793	334.19068469710004
101	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	0.5235987755982988	3.9269908169872414	334.19068469710004
102	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	0.5235987755982988	4.71238898038469	334.19068469710004
103	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	0.5235987755982988	5.497787143782138	334.19068469710004
104	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	0.5235987755982988	6.283185307179586	334.19068469710004
105	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	1.1229639298659642	0.7853981633974483	320.43909977895254
106	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	1.1229639298659642	1.5707963267948966	320.43909977895254
107	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	1.1229639298659642	2.356194490192345	320.43909977895254
108	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	1.1229639298659642	3.141592653589793	320.43909977895254
109	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	1.1229639298659642	3.9269908169872414	320.43909977895254
110	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	1.1229639298659642	4.71238898038469	320.43909977895254
111	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	1.1229639298659642	5.497787143782138	320.43909977895254
112	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	1.1229639298659642	6.283185307179586	320.43909977895254
113	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	1.5707963267948966	0.7853981633974483	309.00351665201237
114	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	1.5707963267948966	1.5707963267948966	309.00351665201237
115	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	1.5707963267948966	2.356194490192345	309.00351665201237
116	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	1.5707963267948966	3.141592653589793	309.00351665201237
117	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	1.5707963267948966	3.9269908169872414	309.00351665201237
118	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	1.5707963267948966	4.71238898038469	309.00351665201237
119	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	1.5707963267948966	5.497787143782138	309.00351665201237
120	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	1.5707963267948966	6.283185307179586	309.00351665201237
121	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	2.018628723723829	0.7853981633974483	299.4671135962441
122	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	2.018628723723829	1.5707963267948966	299.4671135962441
123	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	2.018628723723829	2.356194490192345	299.4671135962441
124	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	2.018628723723829	3.141592653589793	299.4671135962441
125	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	2.018628723723829	3.9269908169872414	299.4671135962441
126	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	2.018628723723829	4.71238898038469	299.4671135962441
127	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	2.018628723723829	5.497787143782138	299.4671135962441
128	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	2.018628723723829	6.283185307179586	299.4671135962441
129	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	2.6179938779914944	0.7853981633974483	295.5321558281941
130	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	2.6179938779914944	1.5707963267948966	295.5321558281941
131	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	2.6179938779914944	2.356194490192345	295.5321558281941
132	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	2.6179938779914944	3.141592653589793	295.5321558281941
133	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	2.6179938779914944	3.9269908169872414	295.5321558281941
134	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	2.6179938779914944	4.71238898038469	295.5321558281941
135	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	2.6179938779914944	5.497787143782138	295.5321558281941
136	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	2.6179938779914944	6.283185307179586	295.5321558281941
137	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	3.141592653589793	0.7853981633974483	293.6846547409004
138	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	3.141592653589793	1.5707963267948966	293.6846547409004
139	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	3.141592653589793	2.356194490192345	293.6846547409004
140	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	3.141592653589793	3.141592653589793	293.6846547409004
141	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	3.141592653589793	3.9269908169872414	293.6846547409004
142	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	3.141592653589793	4.71238898038469	293.6846547409004
143	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	3.141592653589793	5.497787143782138	293.6846547409004
144	30.	0.9	37.5	0.8	0.8	1.5707963267948966	0	3.141592653589793	6.283185307179586	293.6846547409004
145	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	0.5235987755982988	0.7853981633974483	326.72028764553625
146	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	0.5235987755982988	1.5707963267948966	326.72028764553625
147	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	0.5235987755982988	2.356194490192345	326.72028764553625
148	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	0.5235987755982988	3.141592653589793	326.72028764553625
149	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	0.5235987755982988	3.9269908169872414	326.72028764553625
150	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	0.5235987755982988	4.71238898038469	326.72028764553625
151	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	0.5235987755982988	5.497787143782138	326.72028764553625
152	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	0.5235987755982988	6.283185307179586	326.72028764553625
153	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	1.1229639298659642	0.7853981633974483	311.0240529615169
154	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	1.1229639298659642	1.5707963267948966	311.0240529615169
155	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	1.1229639298659642	2.356194490192345	311.0240529615169
156	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	1.1229639298659642	3.141592653589793	311.0240529615169
157	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	1.1229639298659642	3.9269908169872414	311.0240529615169
158	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	1.1229639298659642	4.71238898038469	311.0240529615169
159	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	1.1229639298659642	5.497787143782138	311.0240529615169
160	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	1.1229639298659642	6.283185307179586	311.0240529615169
161	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	1.5707963267948966	0.7853981633974483	298.85682293599194
162	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	1.5707963267948966	1.5707963267948966	298.85682293599194
163	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	1.5707963267948966	2.356194490192345	298.85682293599194
164	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	1.5707963267948966	3.141592653589793	298.85682293599194
165	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	1.5707963267948966	3.9269908169872414	298.85682293599194
166	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	1.5707963267948966	4.71238898038469	298.85682293599194
167	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	1.5707963267948966	5.497787143782138	298.85682293599194
168	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	1.5707963267948966	6.283185307179586	298.85682293599194
169	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	2.018628723723829	0.7853981633974483	289.90639993872827
170	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	2.018628723723829	1.5707963267948966	289.90639993872827
171	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	2.018628723723829	2.356194490192345	289.90639993872827
172	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	2.018628723723829	3.141592653589793	289.90639993872827
173	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	2.018628723723829	3.9269908169872414	289.90639993872827
174	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	2.018628723723829	4.71238898038469	289.90639993872827
175	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	2.018628723723829	5.497787143782138	289.90639993872827
176	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	2.018628723723829	6.283185307179586	289.90639993872827
177	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	2.6179938779914944	0.7853981633974483	282.5067687967328
178	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	2.6179938779914944	1.5707963267948966	282.5067687967328
179	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	2.6179938779914944	2.356194490192345	282.5067687967328
180	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	2.6179938779914944	3.141592653589793	282.5067687967328
181	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	2.6179938779914944	3.9269908169872414	282.5067687967328
182	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	2.6179938779914944	4.71238898038469	282.5067687967328
183	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	2.6179938779914944	5.497787143782138	282.5067687967328
184	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	2.6179938779914944	6.283185307179586	282.5067687967328
185	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	3.141592653589793	0.7853981633974483	283.2464530960774
186	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	3.141592653589793	1.5707963267948966	283.2464530960774
187	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	3.141592653589793	2.356194490192345	283.2464530960774
188	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	3.141592653589793	3.141592653589793	283.2464530960774
189	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	3.141592653589793	3.9269908169872414	283.2464530960774
190	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	3.141592653589793	4.71238898038469	283.2464530960774
191	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	3.141592653589793	5.497787143782138	283.2464530960774
192	30.	0.9	37.5	0.8	0.8	2.018628723723829	0	3.141592653589793	6.283185307179586	283.2464530960774
193	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	0.5235987755982988	0.7853981633974483	316.9493852463815
194	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	0.5235987755982988	1.5707963267948966	316.9493852463815
195	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	0.5235987755982988	2.356194490192345	316.9493852463815
196	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	0.5235987755982988	3.141592653589793	316.9493852463815
197	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	0.5235987755982988	3.9269908169872414	316.9493852463815
198	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	0.5235987755982988	4.71238898038469	316.9493852463815
199	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	0.5235987755982988	5.497787143782138	316.9493852463815
200	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	0.5235987755982988	6.283185307179586	316.9493852463815
201	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	1.1229639298659642	0.7853981633974483	303.41510402757206
202	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	1.1229639298659642	1.5707963267948966	303.41510402757206
203	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	1.1229639298659642	2.356194490192345	303.41510402757206
204	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	1.1229639298659642	3.141592653589793	303.41510402757206
205	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	1.1229639298659642	3.9269908169872414	303.41510402757206
206	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	1.1229639298659642	4.71238898038469	303.41510402757206
207	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	1.1229639298659642	5.497787143782138	303.41510402757206
208	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	1.1229639298659642	6.283185307179586	303.41510402757206
209	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	1.5707963267948966	0.7853981633974483	291.1366500625337
210	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	1.5707963267948966	1.5707963267948966	291.1366500625337
211	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	1.5707963267948966	2.356194490192345	291.1366500625337
212	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	1.5707963267948966	3.141592653589793	291.1366500625337
213	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	1.5707963267948966	3.9269908169872414	291.1366500625337
214	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	1.5707963267948966	4.71238898038469	291.1366500625337
215	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	1.5707963267948966	5.497787143782138	291.1366500625337
216	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	1.5707963267948966	6.283185307179586	291.1366500625337
217	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	2.018628723723829	0.7853981633974483	283.2021848127167
218	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	2.018628723723829	1.5707963267948966	283.2021848127167
219	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	2.018628723723829	2.356194490192345	283.2021848127167
220	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	2.018628723723829	3.141592653589793	283.2021848127167
221	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	2.018628723723829	3.9269908169872414	283.2021848127167
222	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	2.018628723723829	4.71238898038469	283.2021848127167
223	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	2.018628723723829	5.497787143782138	283.2021848127167
224	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	2.018628723723829	6.283185307179586	283.2021848127167
225	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	2.6179938779914944	0.7853981633974483	276.3572216646076
226	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	2.6179938779914944	1.5707963267948966	276.3572216646076
227	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	2.6179938779914944	2.356194490192345	276.3572216646076
228	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	2.6179938779914944	3.141592653589793	276.3572216646076
229	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	2.6179938779914944	3.9269908169872414	276.3572216646076
230	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	2.6179938779914944	4.71238898038469	276.3572216646076
231	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	2.6179938779914944	5.497787143782138	276.3572216646076
232	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	2.6179938779914944	6.283185307179586	276.3572216646076
233	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	3.141592653589793	0.7853981633974483	276.92395712243837
234	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	3.141592653589793	1.5707963267948966	276.92395712243837
235	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	3.141592653589793	2.356194490192345	276.92395712243837
236	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	3.141592653589793	3.141592653589793	276.92395712243837
237	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	3.141592653589793	3.9269908169872414	276.92395712243837
238	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	3.141592653589793	4.71238898038469	276.92395712243837
239	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	3.141592653589793	5.497787143782138	276.92395712243837
240	30.	0.9	37.5	0.8	0.8	2.6179938779914944	0	3.141592653589793	6.283185307179586	276.92395712243837
241	30.	0.9	37.5	0.8	0.8	3.141592653589793	0	0.5235987755982988	0.7853981633974483	313.8549214059294
242	30.	0.9	37.5	0.8	0.8	3.141592653589793	0	0.5235987755982988	1.5707963267948966	313.8549214059294
243	30.	0.9	37.5	0.8	0.8	3.141592653589793	0	0.5235987755982988	2.356194490192345	313.8549214059294
