Case_No	SXS_number	f_peak
0.0	1389.0	97.96921258857681
1.0	1390.0	100.88747214185764
2.0	1391.0	95.35689328851385
3.0	1392.0	102.54186993402558
4.0	1393.0	101.3438724367991
5.0	1394.0	97.27424803698014
6.0	1395.0	104.84092070682553
7.0	1396.0	106.63499050223469
8.0	1397.0	99.89916648985974
9.0	1398.0	104.4222710522628
10.0	1399.0	99.58880475815002
11.0	1400.0	96.53659715732209
12.0	1401.0	106.94463514367817
13.0	1402.0	100.30634306123764
14.0	1403.0	108.97115000243647
15.0	1404.0	102.38116888364067
16.0	1405.0	104.41048481127818
17.0	1406.0	106.67585430696676
18.0	1407.0	110.8172690016928
19.0	1408.0	97.00861407104237
20.0	1409.0	88.22155812631135
21.0	1410.0	99.39497806832142
22.0	1411.0	98.04674601588276
