Case_No	SXS_number	f_peak
0.0	1389.0	147.20985336210202
1.0	1390.0	151.33134836402903
2.0	1391.0	143.03514148524113
3.0	1392.0	153.8125246118935
4.0	1393.0	151.50684254464682
5.0	1394.0	145.91152166870367
6.0	1395.0	157.26148850935624
7.0	1396.0	159.69898688594327
8.0	1397.0	150.10754715413051
9.0	1398.0	156.89962017644825
10.0	1399.0	149.64089829388982
11.0	1400.0	144.80466278510366
12.0	1401.0	160.41686117297309
13.0	1402.0	150.19743923081194
14.0	1403.0	163.98788951745416
15.0	1404.0	153.5715298405745
16.0	1405.0	157.13252285387478
17.0	1406.0	160.01372239257992
18.0	1407.0	165.96088243787548
19.0	1408.0	145.76773851056797
20.0	1409.0	132.11838150964022
21.0	1410.0	149.09223175147596
22.0	1411.0	146.84870743968554
