SXS_sim_ID	chi_p0	chi_pMax	Max_Res
3.	0.4993914102265688	0.499391411212842	5
6.	0.27670426188318675	0.29239448916234156	5
10.	0.24940794934165772	0.24940795709889602	5
11.	0.2493755584837979	0.2493755584878717	6
15.	0.4995222982359607	0.4995222987775969	6
17.	0.49924786929185605	0.49924786980228975	5
18.	0.49952226598613	0.4995222665276626	6
20.	0.3143563788757344	0.320258238067913	5
21.	0.4992236179994341	0.4992236183140334	5
22.	0.4992718184857943	0.499271996336198	5
23.	0.4994041628410006	0.4994044985301281	5
24.	0.49902768760509136	0.49902944355116474	5
26.	0.3143705919348416	0.32026514133755535	6
27.	0.4994394907770106	0.4994394907770106	6
28.	0.31159048036835424	0.3184280878200541	5
29.	0.49899162378273676	0.49899205811300024	5
32.	0.25082698502726014	0.25082699001061487	5
34.	0.4992178240249893	0.4992178242888368	5
35.	0.4994044559006377	0.49940445627018193	6
37.	0.4995468265000372	0.49954682682494167	5
42.	0.2518660554558305	0.25186606041372644	4
43.	0.24979330438520425	0.2497933095869127	4
44.	0.4995254676684051	0.49952546784734325	4
48.	0.1442751657726121	0.14427517166226028	5
49.	0.4995432594496174	0.4995433025411693	5
50.	0.4995420167616798	0.49954434810293924	5
51.	0.1442752114155498	0.14427521725949266	5
52.	0.4995407608860256	0.499542410592454	5
53.	0.4995429202680042	0.4995436667768588	5
58.	0.49914308382220746	0.4991430840726427	5
62.	0.45074986244445986	0.45074986392526795	3
75.	0.49924783081471114	0.49924783132484923	5
76.	0.49924790928144563	0.49924790979196104	5
77.	0.49925049323556453	0.49925049375021996	5
78.	0.49927663844608294	0.49927663899192115	5
79.	0.499247729915686	0.49924773042571374	5
80.	0.49924737656071533	0.49924737707036976	5
81.	0.49924452631620714	0.4992445268200347	5
82.	0.49921572319483437	0.499215723667393	5
88.	0.49950537890188873	0.49950537966715014	5
92.	0.24941864666935162	0.24941865433453742	5
94.	0.49951759281394703	0.4995175932486578	5
95.	0.4992465477832913	0.49924654829094345	5
96.	0.4992476258506868	0.4992476263604286	5
97.	0.4995187049945795	0.49951870535267323	5
98.	0.4995223666304357	0.4995223671227734	5
99.	0.49952429826429423	0.4995242988577618	5
102.	0.4989898043651754	0.49899022871078164	5
103.	0.499524196235399	0.499524196827552	5
104.	0.1442751774910584	0.14427518336968095	5
115.	0.2333168855959432	0.25434160777701165	5
116.	0.16961325715193312	0.16961325715193312	5
117.	0.3890507557695312	0.42537426431320463	5
118.	0.21062365930693164	0.21191862962601168	5
119.	0.06912878058404	0.10731357954073371	5
120.	0.24319321800907975	0.24319321800907975	5
121.	0.3053547432547872	0.38880527293749567	5
123.	0.2675286517905279	0.28458453504501746	5
124.	0.2569391877026805	0.2578206004527026	5
125.	0.348499683360454	0.3512663715920974	5
126.	0.34488452264844255	0.3548245100468874	5
129.	0.24471954539659468	0.24673812356732666	5
130.	0.20741682671743628	0.2630261694597285	5
132.	0.11439199620827546	0.11458979930480453	5
133.	0.10684292636491603	0.10684292636491603	5
134.	0.29508765902371675	0.29532811939824194	5
135.	0.1455606040034661	0.16531630649283996	5
136.	0.16354923198912313	0.18922127455377857	5
137.	0.4040124356108202	0.40443844713385	5
138.	0.4270283812402326	0.42805893900129277	5
139.	0.3433460481771264	0.3506970492395932	5
140.	0.3843601848416336	0.3865332826339532	5
141.	0.18941461275726892	0.1901688057398426	5
142.	0.3712454594370752	0.37164481825180207	5
143.	0.2069937983740853	0.21019066180101212	5
144.	0.12032578716449092	0.12136286533347387	5
146.	0.18650465202911373	0.1875867894466617	5
161.	0.5266471221741674	0.5266471391252483	4
163.	0.5282543766501154	0.6000117518317665	4
164.	0.5011482807898676	0.5011482807898676	4
165.	0.7617078039164435	0.770472671579915	3
173.	0.2767553963238859	0.28876474572511823	5
179.	0.08694900225015681	0.23310814391638787	4
308.	0.27050080655052416	0.3328535383435161	5
627.	0.6753022135138379	0.67659872606863	3
628.	0.8431637523441227	0.8435537501450747	3
629.	0.2869377802196936	0.2869377802196936	3
630.	0.24002154917905527	0.24918842468243044	3
632.	0.7630995690821937	0.8204085734977307	3
633.	0.5619302027183704	0.5619302027183704	3
