Case_No	SXS_number	f_peak
0.0	1389.0	48.984581201792004
1.0	1390.0	50.35680967290898
2.0	1391.0	47.67850665150049
3.0	1392.0	51.3583103537728
4.0	1393.0	50.58712009255292
5.0	1394.0	48.55084290918806
6.0	1395.0	52.33321475247551
7.0	1396.0	53.233133090503316
8.0	1397.0	49.949534057118015
9.0	1398.0	52.2111296866754
10.0	1399.0	49.794360113351566
11.0	1400.0	48.26833444019279
12.0	1401.0	53.47235307866938
13.0	1402.0	50.065979666209685
14.0	1403.0	54.57383658812545
15.0	1404.0	51.19063119200467
16.0	1405.0	52.29130640964101
17.0	1406.0	53.337927514187925
18.0	1407.0	55.3202100616558
19.0	1408.0	48.50428510421065
20.0	1409.0	44.039445783869176
21.0	1410.0	49.697500206441056
22.0	1411.0	49.02353704535449
