Case_No	SXS_number	f_peak
0.0	1389.0	58.69983054435239
1.0	1390.0	60.532404244766276
2.0	1391.0	57.21420247579063
3.0	1392.0	61.65091436283569
4.0	1393.0	60.72489002364537
5.0	1394.0	58.240342857904864
6.0	1395.0	62.77892492823262
7.0	1396.0	63.94048840913414
8.0	1397.0	59.8569646665499
9.0	1398.0	62.69579538434762
10.0	1399.0	59.671085362206185
11.0	1400.0	57.922002264032486
12.0	1401.0	64.16682057338626
13.0	1402.0	60.14188003595642
14.0	1403.0	65.46741292184748
15.0	1404.0	61.42875620485504
16.0	1405.0	62.728939677856125
17.0	1406.0	64.00551477956412
18.0	1407.0	66.447775196057
19.0	1408.0	58.123840423062255
20.0	1409.0	52.89859902998652
21.0	1410.0	59.63700531899651
22.0	1411.0	58.79267114551518
