Case_No	SXS_number	f_peak
92.0	926.0	298.7562191895468
93.0	927.0	309.111220213977
94.0	928.0	299.78260443764844
95.0	934.0	300.6696547344833
96.0	935.0	308.79092863541337
97.0	936.0	298.5539622716635
98.0	937.0	298.20100342356784
99.0	942.0	290.5108748163362
100.0	943.0	290.1115249371615
101.0	944.0	290.6197325264134
102.0	949.0	291.19438894732457
103.0	950.0	290.5671063780582
104.0	951.0	291.4201726857765
105.0	956.0	291.0531996529108
106.0	957.0	291.0623067359999
107.0	958.0	290.5458916758712
108.0	963.0	308.15870244266796
109.0	964.0	298.7371321239327
110.0	965.0	309.0649033386235
111.0	966.0	299.9770074678216
112.0	967.0	308.4498573281007
113.0	968.0	298.4805363193542
114.0	974.0	300.0525089970035
115.0	976.0	298.548801621851
116.0	977.0	298.7892054668586
117.0	981.0	300.1596970214626
118.0	982.0	308.7418936717166
119.0	983.0	297.6561075092078
120.0	984.0	298.16430553085877
121.0	989.0	299.5684331716012
122.0	991.0	299.4956570296009
123.0	992.0	299.13745879682784
124.0	1000.0	337.08216628125984
125.0	1005.0	301.6974511473216
126.0	1006.0	312.3039011131093
127.0	1008.0	285.1613715524559
128.0	1009.0	287.46817253101307
129.0	1010.0	298.15707906835746
130.0	1012.0	300.0426198258678
131.0	1018.0	298.2260214539693
132.0	1019.0	309.20236951455945
133.0	1020.0	345.2682843188966
134.0	1022.0	277.99305324337087
135.0	1023.0	311.0678920212937
136.0	1027.0	335.01773831159187
137.0	1028.0	336.0583053607964
138.0	1029.0	297.79632815917796
139.0	1030.0	328.77092308211604
140.0	1031.0	340.20885556979283
141.0	1033.0	290.76344278928843
142.0	1035.0	289.21838600114853
143.0	1036.0	344.30666182000954
144.0	1039.0	328.29909669487733
145.0	1041.0	308.8855864779221
146.0	1042.0	284.8743269824106
147.0	1045.0	296.7909249758789
148.0	1048.0	295.8989257204061
149.0	1049.0	290.8393692207144
150.0	1051.0	311.92603358044903
151.0	1053.0	301.5916818008073
152.0	1056.0	317.5082499452456
153.0	1057.0	294.98805135551936
154.0	1059.0	327.36456583639807
155.0	1065.0	306.9932107596328
156.0	1066.0	314.4675762797633
157.0	1067.0	314.3948945956625
158.0	1070.0	318.3405243989616
159.0	1071.0	350.5540952623506
160.0	1076.0	321.68912706156715
161.0	1077.0	292.7926753063905
162.0	1078.0	324.2250076968842
163.0	1079.0	297.2837167243798
164.0	1085.0	311.0866892882661
165.0	1086.0	339.4379378694729
166.0	1087.0	336.18386707492635
167.0	1129.0	310.70493663884054
168.0	1133.0	297.540665419805
169.0	1188.0	308.8983203200904
170.0	1189.0	308.8653544802076
171.0	1193.0	301.59442865050204
172.0	1194.0	298.4915963235777
173.0	1195.0	308.7823961549207
174.0	1197.0	297.4793972087762
175.0	1200.0	298.7928476509299
176.0	1204.0	298.1073316669791
177.0	1205.0	308.93956716514396
178.0	1207.0	299.6485210943258
179.0	1215.0	299.10500933892314
180.0	1217.0	309.0351726751669
181.0	1224.0	307.7255624659271
187.0	1515.0	271.97360752153907
188.0	1518.0	302.05353243662904
189.0	1704.0	292.1026862789101
190.0	1762.0	273.8461371737042
191.0	1782.0	257.3952459532188
192.0	1800.0	331.0758406094774
193.0	1833.0	273.4942325782766
194.0	1846.0	345.45705936701984
195.0	1868.0	311.77821227503375
196.0	1874.0	323.33952706241627
197.0	1888.0	276.0586402507167
198.0	1890.0	303.57136802369155
199.0	1915.0	286.9104105107915
200.0	1916.0	279.7324311101232
201.0	1917.0	280.91830869761685
202.0	1918.0	276.87941325176513
203.0	1920.0	283.6971691120463
204.0	1921.0	279.56807789218493
205.0	1922.0	281.0922471347868
206.0	1923.0	282.8298861536597
207.0	1924.0	276.5317883345511
208.0	1926.0	286.4727781936061
209.0	1927.0	281.2579719366415
210.0	1928.0	278.37942979483137
211.0	1929.0	281.53236642760623
212.0	1930.0	275.3220177000609
213.0	1945.0	280.4448410852527
214.0	1946.0	278.3198156465858
215.0	1947.0	279.5477513876568
216.0	1948.0	274.4897652440971
217.0	1951.0	280.40214060996925
218.0	1952.0	278.71719989477504
219.0	1953.0	279.4333358090593
220.0	1954.0	274.30551402387954
221.0	1956.0	284.3446338020821
222.0	1957.0	279.5259156136486
223.0	1958.0	279.25919934257536
224.0	1959.0	280.2253384324136
225.0	1968.0	334.59009220132674
226.0	1969.0	321.11238810575054
227.0	1971.0	334.19618266965625
228.0	1972.0	326.47936907673903
229.0	1973.0	320.22133033867925
230.0	1975.0	335.5516765173367
231.0	1976.0	327.0432551976123
232.0	1977.0	326.32649122542256
233.0	1978.0	328.905180274912
234.0	1979.0	323.55694174595465
235.0	1981.0	249.16793827243646
236.0	1982.0	251.48385828654324
237.0	1983.0	252.3469085992684
238.0	1984.0	247.37116964854275
239.0	1986.0	254.07842622840613
240.0	1987.0	251.22193810078585
241.0	1988.0	250.9603921006722
242.0	1989.0	247.48599410919633
243.0	1991.0	253.4529002374596
244.0	1992.0	250.5327872049217
245.0	1993.0	251.3031345487979
246.0	1994.0	251.08206496133204
247.0	1995.0	249.13101965859957
248.0	1997.0	286.51592036879657
249.0	1998.0	283.2729874207299
250.0	1999.0	282.282290458398
251.0	2000.0	279.19968313736007
252.0	2001.0	275.3192009655099
253.0	2003.0	286.86054783714945
254.0	2004.0	279.94018959426796
255.0	2005.0	278.43254070074397
256.0	2006.0	279.7775190790315
257.0	2007.0	276.64466344924745
258.0	2009.0	283.6931659782685
259.0	2010.0	281.3264360696433
260.0	2011.0	282.38025719286856
261.0	2012.0	278.32693633420297
262.0	2015.0	282.0098420453347
263.0	2016.0	284.7687224558611
264.0	2017.0	280.341569093503
265.0	2021.0	279.5251839564624
266.0	2022.0	281.3150792143261
267.0	2023.0	281.5536714513374
268.0	2027.0	282.0640022188629
269.0	2028.0	280.243841786993
270.0	2032.0	281.21930101609524
271.0	2033.0	279.8387224209389
272.0	2034.0	281.0427889840639
273.0	2037.0	277.43634438392087
274.0	2038.0	280.4226372236716
275.0	2039.0	277.5136864176314
276.0	2043.0	284.889709005684
277.0	2044.0	284.67752318906537
278.0	2045.0	281.431740224765
279.0	2048.0	284.6016262545925
280.0	2049.0	282.7014593370341
281.0	2052.0	283.72427956037603
282.0	2053.0	284.22647038147846
283.0	2054.0	288.027251725461
284.0	2057.0	276.95523026309365
285.0	2058.0	277.95924304869936
286.0	2061.0	279.68464032348777
287.0	2064.0	274.2701044254657
288.0	2065.0	277.798544536957
289.0	2066.0	276.2066832791098
290.0	2069.0	280.3194782581753
291.0	2070.0	280.41733634205644
292.0	2073.0	280.6395641841972
293.0	2074.0	282.7162275356684
294.0	2075.0	277.7319767545814
295.0	2079.0	278.5345847615887
296.0	2080.0	279.73324671645594
297.0	2081.0	278.8918168639554
