SXS_Sim	mm22	mm21	mm22_nomr	mm_21_nomr
163.0	0.0028020842833781368	0.17977645663566433	0.0020339043867172446	0.1857155859015246
161.0	0.004776212152935999	0.208583305394902	0.003864820881244846	0.22302417659061224
164.0	0.003722311075405549	0.2852915526878683	0.0008360517551073698	0.24911303792547557
963.0	0.011822056678239323	0.23378670882677755	0.0018215905886478367	0.18939134652724565
1129.0	0.006132550686169358	0.1709946493224047	0.0027093401151718766	0.18983502352926285
1217.0	0.01614423057578318	0.18836892471119804	0.009650831657084913	0.2066200946240575
887.0	0.013272181232652946	0.20902232340800753	0.00355564452524193	0.20513259970725362
1189.0	0.004063380809414374	0.18239941488643896	0.0018449346595436067	0.19920539821745498
790.0	0.007283474046407501	0.15265609354040566	0.0042069894189255	0.1828010125970042
907.0	0.007781644286797396	0.23991631629594445	0.003139424578359251	0.1980990685886902
788.0	0.005934270432636057	0.15381603551980827	0.004919396448730962	0.17238069866217665
872.0	0.002697186589009193	0.20633017850247826	0.0010855188328209309	0.19287537223602547
861.0	0.0016347010680278773	0.20135458884529733	0.0011842816030190884	0.19551544472909266
853.0	0.003717116676038912	0.19790488290595643	0.002490034222101478	0.1981601796101664
767.0	0.005852588506299217	0.19284732065537535	0.003520808679264076	0.19678701326611714
841.0	0.0056139944732163105	0.19192965517300742	0.003413082236936482	0.1966384750920187
1205.0	0.0045618108476687125	0.1870597494119416	0.0019335201377683742	0.192838200849485
822.0	0.014017410143133957	0.19633618954216903	0.006029742362577473	0.20035551532324547
935.0	0.007095140013285928	0.17093641609369303	0.003235558356174284	0.1973542615064322
927.0	0.011328454253093811	0.1764091099255879	0.004739634096940448	0.2022355517247133
897.0	0.014301944720132576	0.2105640407645668	0.00350167720472927	0.20747219523376992
793.0	0.0030677473285244394	0.11827650163389891	0.0027112489622236335	0.16854086163960924
803.0	0.005560412710657103	0.1385541158066823	0.0026410414480250166	0.1749556578661572
967.0	0.01076677790325875	0.16962808200762702	0.003009745110918338	0.20339424352803182
925.0	0.006399114703871889	0.18925366345065997	0.0028564938525061923	0.19532984535442943
965.0	0.008973128910456207	0.19105323485206704	0.005340933226006261	0.19952763232821302
982.0	0.005409052096459144	0.19957655587017864	0.0025190662316171286	0.19409947138252415
876.0	0.004988650004594364	0.21561915011296084	0.0026471619561955206	0.19742156720937476
865.0	0.002348675714006654	0.1621826919844297	0.0007227278787703684	0.19716152849220825
1188.0	0.0017952976801806075	0.19485949928226154	0.0011088534800121064	0.1983328683233423
856.0	0.0031641211518206314	0.1872096366890038	0.0014145109915146836	0.19387617602702034
764.0	0.01161745652510815	0.20998445397440335	0.004639226335926838	0.1934378128554476
838.0	0.011498098881287389	0.21027002946885487	0.004456199279624484	0.19312242539651447
786.0	0.005006999240294019	0.13685515459706143	0.001864759587884457	0.17783054256366382
874.0	0.005026289856404187	0.169873103478418	0.0007850824987422067	0.1965014818825872
863.0	0.007504764508067474	0.1817043455650934	0.0019280137959039045	0.19930328617897897
855.0	0.0028289104369823015	0.1865057266057899	0.000924620709206736	0.19643520569402695
1195.0	0.005003188106204259	0.2046372822537238	0.0018948054442603501	0.19374417041759884
3.0	0.00132215274248626	0.1942715312815193	0.0005438520420377735	0.21008146877489542
88.0	0.0036054670446199477	0.1778663611507938	0.0032202448380261872	0.20249967177298833
1028.0	0.006463187858253838	0.21781808246425816	0.0011710521783309114	0.22691872259169843
1053.0	0.003034251133507526	0.1508555022761522	0.0015144382666377743	0.18532864595093235
1067.0	0.0055270527286896964	0.1763894131700663	0.003048276983396714	0.19143385696868886
1006.0	0.008382655787534388	0.20992384828227395	0.001742872703891729	0.185052156543265
1048.0	0.002802225449231033	0.17265179989268764	0.0018778000393570027	0.18492803651164014
1079.0	0.004605172563486359	0.15001732675510016	0.002010413271417155	0.18124030922140044
1049.0	0.005021753856952138	0.1433277542673086	0.002885863760249574	0.17690011835104713
1035.0	0.004620387626351974	0.15229801413870603	0.003038926710542289	0.17946812732631834
1066.0	0.007054081328168094	0.19955644416253893	0.0016200185249146681	0.1937308793118785
1019.0	0.0031903959567706197	0.17919266656985677	0.0020748470975600064	0.18880545965604145
1076.0	0.004705660203015216	0.19809613738829446	0.0038778908187410144	0.19846250248604747
