Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
1389.0	0.0017750441981518872	0.00047485536597269284	0.0007258327072185565	0.0009780981309225334	0.00017993460089935987
1390.0	0.0005779861136749886	9.548348740118229e-05	0.00031417400585553336	0.0005327374503790727	0.000156902966400487
1391.0	0.0008017289556851992	0.00030977340402271736	0.0005483179189272192	0.0007869805742531932	0.0001705747868884286
1392.0	0.0010869122504598705	0.0006993251929724442	0.0008911626637980571	0.0010829837744419368	0.0001376520204010358
1393.0	0.0007459451742053425	0.00018613964173896935	0.00037976902230480423	0.0005731340864245649	0.00013848068295964193
1394.0	0.0012422916401441109	0.00033556109232513176	0.000787764467095746	0.0012396424710299225	0.0003267916504649585
1395.0	0.0008369432651074149	0.00011620618027263774	0.0004748773520003315	0.0008333435464213945	0.0002575624941676517
1396.0	0.0012224118330723677	0.0006068826719635156	0.0009058369407376265	0.0012046592365659858	0.00021666422724392708
1397.0	0.0008443072623482983	2.9189962790554524e-05	0.00043652111471086173	0.0008435872498943064	0.0002937181313586156
1398.0	0.0011412987926815443	0.0004167423389794811	0.0007759648352207359	0.0011351633759565383	0.00025907981854892434
1399.0	0.0016847844792076128	0.0008012663323445635	0.0012318384490403085	0.0016617557334143163	0.0003120556594508942
1400.0	0.001061871754246213	0.0001028553081514616	0.0005588052514539141	0.0010155132250978527	0.0003281751517296262
1401.0	0.0011016372659840012	0.0004022757274264599	0.0007445079121048679	0.0010867291905916066	0.00024693813713942854
1402.0	0.0011821493088299828	0.0003564019262787266	0.0007604551385928896	0.001164191424555483	0.000292518438944703
1403.0	0.0011410112925220872	0.00044576527818551703	0.000790229381405486	0.001136961603001363	0.00024935843419202834
1404.0	0.001285799458292436	0.0004973610973441067	0.0008713388138615383	0.0012451374524133918	0.0002696291501522202
1405.0	0.001551800572925699	0.0007639202847852244	0.0011048011614785917	0.0014455449791725972	0.0002450264160542612
1406.0	0.001501183738261358	0.0007280964935829637	0.0010791130687570337	0.0014299292295710808	0.00025307588967380735
1407.0	0.0011686820818357369	0.0005408607859875847	0.0008505049620572149	0.0011599850429734326	0.00022307720454376628
1408.0	0.001353204124773133	0.0003279408738315892	0.0007631188765262475	0.0011980021859970824	0.0003138225916067912
1409.0	0.006548997233749798	0.0004450118188601415	0.0012611690815613646	0.002077653179816785	0.0005936081209429894
1410.0	0.0056890371333844225	0.0007432808641257838	0.0012750906034050085	0.001817176905682727	0.00038496684128417626
1411.0	0.003909340473929657	0.00023526948147478688	0.000660806059585657	0.0010569132281823546	0.0002991785218514596
