Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
1389.0	0.0028303532868544368	0.0017819629677833237	0.001977290827270318	0.0021726430619376513	0.00013999108001982706
1390.0	0.0020241242828059614	0.001615525509202742	0.00180660619706775	0.0019976254073658106	0.00013743091799396867
1391.0	0.0015675900714280377	0.0011252340610466982	0.0013218139515039414	0.0015183499318767169	0.0001407057411598554
1392.0	0.0009668484265672461	0.0006012824903276481	0.0007711917954156346	0.0009410429776415263	0.0001219327888112085
1393.0	0.005773898618068096	0.004967265968197521	0.005130516511657819	0.005293392026032295	0.00011840746995527238
1394.0	0.0013787308851274105	0.0006177018658293232	0.0009967049280906351	0.0013754830460572798	0.000273796182889555
1395.0	0.0019121690397850832	0.0012730966398531995	0.0015884734504954191	0.0019037164794314387	0.00022691197551446277
1396.0	0.002075096034504398	0.0013452071232555873	0.0016182943907191067	0.0018912761555079927	0.00019776371740105728
1397.0	0.0008460995498821289	0.00013503233967693262	0.0004861939931339215	0.000837174246160366	0.0002530503688453674
1398.0	0.001127684461646239	0.0004750420799202182	0.0007972293241413671	0.0011192631211424109	0.00023226679646097046
1399.0	0.0025135835876676227	0.0017330814140431583	0.0020918585663126815	0.002450417565463159	0.0002603657063337132
1400.0	0.0024004851576876485	0.0015633864167120537	0.0019320323523802983	0.002300837769332875	0.0002645623059467329
1401.0	0.0010041827915913126	0.0004034844695754991	0.000701460579218787	0.000999310219633398	0.0002148673260331678
1402.0	0.0017923054644055636	0.0010273555622070107	0.001386307718242166	0.0017450508855652025	0.00025986757958520394
1403.0	0.0009221918405465379	0.0002849600122252216	0.0005877241283834769	0.0008903489291588462	0.00021832757877429264
1404.0	0.0014241976164527381	0.0007437960641520913	0.001078386976775922	0.0014128095068222102	0.0002411103297832632
1405.0	0.002303080718792039	0.0014923084472184822	0.0018027495163756065	0.0021130450917034027	0.000223108276864476
1406.0	0.0021580976959194587	0.0012860449832003962	0.001591094287201283	0.0018959043850219626	0.00021960410968406278
1407.0	0.0010993589505021717	0.0005251460704291944	0.0008084563629974149	0.0010916557709290675	0.00020405491288403438
1408.0	0.0011921842114300807	0.00043600425756218364	0.0008004597848698643	0.0011648194518266708	0.0002627208468734344
1409.0	0.011060312745867718	0.0016712555100445448	0.002943675306993637	0.0044090303971345834	0.0009650154160676833
1410.0	0.006344044262099446	0.0015959974306843927	0.001954016057761592	0.0023142736738188674	0.0002644414926261844
1411.0	0.012264676961222576	0.0067475856381118415	0.0069115049003294505	0.007073028479347099	0.00011816430578140232
